ID,Age,Gender,Marital_Status,Job_Role,Experience_Years,Monthly_Salary_INR,Working_Hours_per_Week,Commute_Time_Hours,Remote_Work,Stress_Level,Health_Issues,Company_Size,Department,Sleep_Hours,Physical_Activity_Hours_per_Week,Mental_Health_Leave_Taken,Manager_Support_Level,Work_Pressure_Level,Annual_Leaves_Taken,Work_Life_Balance,Family_Support_Level,Job_Satisfaction,Performance_Rating,Team_Size,Training_Opportunities,Gender_Bias_Experienced,Discrimination_Experienced,Burnout_Symptoms,Location
1,56,Non-Binary,Widowed,Developer,5,102703.08,44,1.72,True,0,,Small,Marketing,5.6,1.9,False,1,0,15,9,2,5,10,38,False,True,True,No,Tier-3
2,46,Female,Single,Analyst,20,165583.91,54,0.62,True,7,,Large,IT,9.0,3.5,True,7,10,12,9,1,10,9,72,True,True,True,No,Tier-3
3,32,Female,Single,Developer,10,38005.39,81,1.22,False,7,Physical,Medium,HR,7.9,8.4,False,2,7,13,6,1,1,1,67,False,False,False,Yes,Metro
4,60,Female,Divorced,Analyst,26,51127.36,79,2.03,False,6,Mental,Small,IT,4.1,6.4,True,6,2,15,8,10,5,10,98,True,True,False,Yes,Metro
5,25,Male,Married,Sales,29,174597.45,63,1.45,True,8,Both,Large,Sales,4.0,9.2,True,9,10,11,3,1,9,2,85,True,False,False,No,Tier-1
6,38,Non-Binary,Single,Manager,13,37595.9,45,0.48,True,2,Both,Large,HR,5.7,9.5,True,5,8,30,6,0,7,2,22,True,True,True,No,Tier-2
7,56,Non-Binary,Single,HR,17,46786.46,44,0.23,False,4,Mental,Medium,Marketing,8.2,9.4,True,10,3,16,9,4,2,10,39,False,True,False,Yes,Tier-3
8,36,Female,Divorced,Sales,5,49639.66,46,2.3,False,6,Mental,Small,Admin,8.5,1.5,False,1,8,4,4,2,5,4,44,False,False,True,Occasional,Tier-3
9,40,Non-Binary,Divorced,Manager,40,156978.32,66,0.3,False,1,Physical,Small,Finance,8.2,9.6,True,3,7,13,6,5,5,1,46,False,True,True,Yes,Tier-3
10,28,Male,Divorced,Support,31,85163.2,56,1.91,True,9,Physical,Medium,Admin,5.2,7.6,True,10,9,2,10,9,0,9,48,True,True,False,Yes,Tier-3
11,28,Female,Widowed,Sales,32,117789.06,75,0.82,False,3,,Small,IT,4.6,6.0,False,8,1,2,6,6,2,7,3,False,True,False,Yes,Tier-2
12,41,Male,Divorced,Manager,11,72373.38,67,0.07,False,9,Mental,Large,Admin,6.0,2.8,True,7,9,13,8,3,9,2,1,False,True,True,Yes,Tier-3
13,53,Female,Divorced,Analyst,3,130305.44,37,0.13,True,9,Both,Small,Marketing,8.0,7.2,False,8,6,1,9,1,7,4,92,False,False,True,Yes,Tier-3
14,57,Female,Married,HR,35,71621.93,68,2.57,True,0,,Large,Marketing,8.7,9.8,True,8,4,7,8,4,0,10,60,True,True,True,Yes,Tier-3
15,41,Female,Widowed,Support,10,196157.07,52,2.59,True,8,Mental,Medium,HR,5.8,9.3,True,1,7,11,9,2,1,7,93,False,True,True,No,Tier-1
16,20,Male,Widowed,Analyst,35,154602.95,63,2.33,False,10,Physical,Medium,Admin,7.0,4.7,True,4,8,4,2,0,1,7,25,True,False,True,Occasional,Metro
17,39,Non-Binary,Single,HR,14,173926.86,62,2.69,False,9,,Large,Finance,4.4,0.3,False,4,4,29,4,3,1,9,69,False,True,False,Yes,Metro
18,19,Non-Binary,Married,Manager,23,83436.04,60,1.78,False,6,Both,Small,Admin,9.0,0.9,True,4,3,6,5,7,8,7,87,False,False,True,No,Tier-2
19,41,Non-Binary,Divorced,Support,32,51978.12,88,1.29,True,10,Physical,Small,IT,4.6,6.8,True,9,7,29,2,4,5,5,49,True,False,False,Yes,Tier-3
20,61,Non-Binary,Widowed,Developer,27,93569.73,43,2.06,True,6,Both,Large,Finance,6.5,9.0,True,8,3,0,8,4,3,3,81,False,True,False,Occasional,Tier-3
21,47,Male,Single,Developer,39,90909.36,78,1.87,False,2,,Medium,HR,5.6,9.6,True,1,1,22,7,5,7,5,30,True,True,False,No,Tier-3
22,55,Non-Binary,Married,Developer,3,194433.13,36,2.93,False,0,Both,Small,HR,4.4,1.1,False,2,7,18,2,3,10,2,92,True,True,True,Occasional,Tier-2
23,19,Non-Binary,Divorced,Support,11,33821.79,65,0.17,True,0,Mental,Small,Admin,5.1,2.0,False,4,8,18,10,9,2,3,96,False,False,True,Occasional,Tier-2
24,38,Female,Married,Support,15,193129.33,67,0.39,True,9,Mental,Large,Sales,4.4,7.1,False,5,9,25,3,8,5,0,10,False,False,True,Occasional,Metro
25,50,Male,Married,Developer,11,173803.77,74,0.28,True,1,Physical,Small,Marketing,4.9,1.9,True,0,5,27,7,9,4,6,96,False,False,True,Occasional,Tier-2
26,29,Female,Divorced,Support,20,39994.38,89,1.56,False,0,,Small,Sales,6.7,9.6,True,5,10,8,4,8,8,6,29,False,True,True,Yes,Tier-2
27,39,Non-Binary,Single,Sales,25,164005.11,50,0.18,False,4,Both,Small,IT,7.9,8.6,True,5,10,7,1,1,3,10,34,True,True,False,Occasional,Tier-3
28,61,Female,Divorced,Sales,8,188706.1,66,2.97,False,4,Physical,Large,Sales,5.8,9.5,False,9,0,14,6,1,9,7,60,True,False,True,No,Tier-2
29,42,Non-Binary,Widowed,Developer,19,77534.03,41,1.51,False,6,Both,Large,Marketing,7.7,8.2,False,2,5,7,6,8,1,10,25,False,False,True,Yes,Tier-3
30,44,Female,Divorced,Support,20,94169.5,35,0.99,False,5,Mental,Small,Admin,8.7,2.6,False,0,1,29,1,0,4,10,27,True,True,True,No,Metro
31,59,Male,Married,Analyst,4,93694.29,77,1.11,True,0,Physical,Medium,Sales,4.1,9.4,False,3,0,25,6,3,1,0,71,False,False,True,Occasional,Tier-3
